date,plot.id,sample.number,ash.species,dbh,canopy.condition,number.eab.exit.holes,eab.galleries,number.branches.surveyed,epicormics.surveyed,total.chrysomelidae,total.curculionidae,psomus.armatus ,total.miridae,tropidosteptes.canadensis ,tropidosteptes.cardinalis ,total.tingidae,leptoypha.mutica 
5/22/2025,ISBRS,1,green,2.9,1,0,0,7,0,0,0,0,0,0,0,0,0
5/22/2025,ISBRS2,2,green,8.5,1,0,1,13,0,2,0,0,0,0,0,0,0
5/22/2025,ISBRS2,3,green,4.7,2,0,0,8,0,0,0,0,0,0,0,0,0
5/27/2025,ISBRS3,4,green,3.9,1,0,0,6,0,1,0,0,0,0,0,0,0
5/27/2025,ISBRS3,5,green,10.1,3,0,1,6,0,3,0,0,1,0,0,0,0
5/28/2025,ISBR2,6,green,2.5,1,0,0,5,0,1,0,0,0,0,0,0,0
5/28/2025,ISBR2,7,green,6.5,1,0,1,2,0,0,0,0,0,0,0,0,0
5/28/2025,ISBR2,8,green,5.4,1,0,1,8,0,2,0,0,1,0,0,0,0
5/28/2025,ISBR2,9,green,5.9,1,0,0,4,0,4,0,0,0,0,0,1,1
5/28/2025,ISBR2,10,black,7.6,1,0,1,6,0,3,0,0,0,0,0,0,0
5/28/2025,ISBR3,11,green,2.6,1,0,0,3,0,1,0,0,0,0,0,0,0
5/28/2025,ISBR3,12,green,4,2,0,1,3,0,1,0,0,0,0,0,0,0
5/28/2025,ISBR3,13,green,5.1,1,0,0,6,0,2,0,0,0,0,0,0,0
5/28/2025,ISBR3,14,green,5.5,1,0,0,6,0,1,0,0,0,0,0,0,0
5/28/2025,ISBR3,15,green,3.1,2,0,0,3,0,0,0,0,0,0,0,0,0
5/29/2025,ISRIP3,16,black,6.2,2,0,0,7,0,0,0,0,0,0,0,0,0
5/29/2025,ISRIP3,17,black,3.7,3,0,1,6,0,0,0,0,0,0,0,0,0
5/29/2025,ISRIP3,18,black,15.4,1,0,0,7,0,0,0,0,0,0,0,0,0
5/29/2025,ISRIP2,19,green,4.3,1,0,1,3,0,2,0,0,3,0,3,0,0
5/29/2025,ISRIP2,20,green,6.4,4,1,1,3,0,0,0,0,3,0,2,0,0
5/29/2025,ISRIP2,21,green,4.5,4,0,1,3,0,0,0,0,1,0,1,0,0
5/29/2025,ISRIP2,22,green,3.4,2,0,1,4,0,1,0,0,1,0,1,0,0
5/29/2025,ISRIP2,23,green,6.5,2,0,0,5,0,0,0,0,2,1,1,0,0
5/29/2025,ISRIP3,24,green,3.2,1,0,0,4,0,0,0,0,0,0,0,0,0
5/29/2025,ISRIP3,25,black,3.3,1,0,0,6,0,0,0,0,0,0,0,0,0
5/30/2025,ISRIP,26,green,3,1,0,0,5,0,4,0,0,0,0,0,0,0
5/30/2025,ISRIP,27,green,3,1,0,0,5,0,0,0,0,0,0,0,0,0
5/30/2025,ISRIP,28,black,6.7,3,0,1,7,0,0,0,0,0,0,0,0,0
6/3/2025,ISLD2,29,black,4,1,0,0,3,0,7,0,0,0,0,0,0,0
6/3/2025,ISLD2,30,green,5.2,2,0,1,5,0,0,0,0,0,0,0,0,0
6/3/2025,ISLD2,31,green,3.1,1,0,0,3,0,0,0,0,0,0,0,0,0
6/3/2025,ISLD2,32,green,5.8,3,0,1,4,0,1,0,0,0,0,0,0,0
6/3/2025,ISLD2,33,green,4.1,1,0,0,6,0,2,0,0,0,0,0,0,0
6/3/2025,ISLD2,34,green,3.9,1,0,0,6,0,5,0,0,1,0,1,0,0
6/3/2025,ISLD2,35,green,7,4,0,1,6,0,3,0,0,2,0,0,0,0
6/3/2025,ISLD2,36,black,3.2,1,0,0,7,0,1,0,0,0,0,0,0,0
6/3/2025,ISLD2,37,black,4.9,1,0,1,5,0,5,0,0,0,0,0,0,0
6/4/2025,ISLD3,38,black,6.4,1,0,0,3,0,0,0,0,0,0,0,0,0
6/4/2025,ISLD3,39,green,6.6,5,1,1,4,1,2,0,0,0,0,0,1,1
6/4/2025,ISLD3,40,black,3.5,1,0,0,5,0,0,0,0,0,0,0,0,0
6/4/2025,ISLD3,41,black,3.2,1,0,0,6,0,1,0,0,0,0,0,1,1
6/4/2025,ISLD3,42,green,3.1,1,0,0,6,0,2,1,0,0,0,0,0,0
6/4/2025,ISLD3,43,green,7,1,0,1,3,0,0,0,0,3,1,2,1,1
6/4/2025,ISLD3,44,black,7.7,4,0,1,6,0,0,0,0,0,0,0,0,0
6/5/2025,ISLD,45,black,4.5,1,0,0,4,0,0,0,0,0,0,0,0,0
6/5/2025,ISLD,46,green,5.5,1,0,0,3,0,0,0,0,0,0,0,0,0
6/5/2025,ISLD,47,black,4.3,1,0,0,5,0,0,0,0,0,0,0,2,2
6/5/2025,KENWET3,48,green,9.1,1,0,0,4,0,0,0,0,0,0,0,0,0
6/5/2025,KENWET3,49,black,10.5,1,0,1,3,0,2,0,0,0,0,0,0,0
6/5/2025,KENWET3A,50,black,6.8,1,0,0,8,0,1,0,0,0,0,0,0,0
6/5/2025,KENWET3A,51,black,4.2,1,0,0,5,0,1,0,0,0,0,0,0,0
6/11/2025,KENWET4,57,green,13.2,1,0,0,5,0,2,0,0,0,0,0,0,0
6/11/2025,ILRIP,61,green,3.5,1,0,0,3,0,0,0,0,0,0,0,0,0
6/11/2025,ILRIP,62,green,5.7,4,0,1,3,0,0,0,0,1,0,1,0,0
6/11/2025,ILRIP,63,green,3.2,1,0,0,3,0,0,0,0,0,0,0,0,0
6/11/2025,ILRIP,64,green,5.1,1,0,0,3,0,0,0,0,0,0,0,0,0
6/11/2025,ILRIP,65,green,3.5,2,0,1,3,0,0,0,0,0,0,0,0,0
6/11/2025,ILRIP,66,green,3,1,0,0,5,0,0,0,0,0,0,0,0,0
6/12/2025,ILRIP3,67,green,3.6,1,0,0,3,0,0,0,0,0,0,0,0,0
6/12/2025,ILRIP3,68,green,5.3,1,0,1,3,0,0,0,0,1,1,0,0,0
6/12/2025,ILRIP3,69,green,3,1,0,0,4,0,0,0,0,0,0,0,0,0
6/12/2025,ILRIP3,70,green,7.2,3,0,1,5,1,1,0,0,3,3,0,0,0
6/12/2025,ILRIP3,71,green,7.6,4,1,1,7,1,0,0,0,1,0,1,0,0
6/12/2025,ILRIP2,72,green,7.4,1,0,0,5,0,0,0,0,0,0,0,0,0
6/12/2025,ILRIP2,73,green,4.4,1,0,0,6,0,0,0,0,0,0,0,0,0
6/12/2025,ILRIP2,74,green,3.2,2,0,0,7,0,0,0,0,0,0,0,0,0
6/12/2025,ILRIP2,75,green,2.8,1,0,0,5,0,0,0,0,0,0,0,0,0
6/12/2025,ILRIP2,76,green,3.6,3,0,1,5,1,0,0,0,1,0,1,1,1
6/13/2025,ILLOW2,77,black,3,2,0,1,6,0,0,0,0,0,0,0,0,0
6/24/2025,ILLOW,78,black,4.4,1,0,0,4,1,0,0,0,2,0,0,0,0
6/24/2025,ILLOW,79,black,2.6,1,0,0,4,0,0,0,0,3,0,0,3,3
6/24/2025,ILLOW,80,green,2.5,1,0,0,6,0,0,0,0,2,0,0,0,0
6/24/2025,ILLOW,81,black,4.3,1,0,0,5,0,1,0,0,4,0,0,2,2
6/24/2025,ILLOW,82,black,6.5,5,0,1,6,1,0,0,0,0,0,0,1,1
6/24/2025,ILLOW,83,black,5.8,1,0,0,3,0,0,0,0,1,0,0,0,0
6/24/2025,ILLOW,84,black,5.4,2,0,0,5,0,0,0,0,1,0,0,3,3
6/25/2025,ILLOW3,85,black,4.7,1,0,0,7,0,2,0,0,1,0,0,0,0
